iin	V(iin)	V(vout)	I(Iin)	I(Iout)	I(Vout)
5.674330000000043e-05	1.851226e+00	5.000000e+00	5.674330e-05	2.168404e-19	2.168404e-19
5.684320000000043e-05	1.848767e+00	5.000000e+00	5.684320e-05	1.192622e-18	1.192622e-18
5.694310000000043e-05	1.846309e+00	5.000000e+00	5.694310e-05	-2.856162e-19	-2.856162e-19
5.704300000000044e-05	1.843853e+00	5.000000e+00	5.704300e-05	-4.482217e-19	-4.482217e-19
5.714290000000044e-05	1.841398e+00	5.000000e+00	5.714290e-05	-1.503367e-18	-1.503367e-18
5.724280000000044e-05	1.838945e+00	5.000000e+00	5.724280e-05	-6.505213e-19	-6.505213e-19
5.734270000000044e-05	1.836494e+00	5.000000e+00	5.734270e-05	-3.939371e-19	-3.939371e-19
5.744260000000045e-05	1.834044e+00	5.000000e+00	5.744260e-05	-1.228618e-19	-1.228618e-19
5.754250000000045e-05	1.831595e+00	5.000000e+00	5.754250e-05	1.084202e-19	1.084202e-19
5.764240000000045e-05	1.829148e+00	5.000000e+00	5.764240e-05	1.626303e-19	1.626303e-19
5.774230000000045e-05	1.826702e+00	5.000000e+00	5.774230e-05	-9.215718e-19	-9.215718e-19
5.784220000000045e-05	1.824258e+00	5.000000e+00	5.784220e-05	1.463673e-18	1.463673e-18
5.794210000000046e-05	1.821815e+00	5.000000e+00	5.794210e-05	-1.572093e-18	-1.572093e-18
5.804200000000046e-05	1.819374e+00	5.000000e+00	5.804200e-05	2.710505e-19	2.710505e-19
5.814190000000046e-05	1.816934e+00	5.000000e+00	5.814190e-05	1.426922e-20	1.426922e-20
5.824180000000046e-05	1.814496e+00	5.000000e+00	5.824180e-05	3.937155e-19	3.937155e-19
5.834170000000046e-05	1.812059e+00	5.000000e+00	5.834170e-05	-5.963112e-19	-5.963112e-19
5.844160000000047e-05	1.809623e+00	5.000000e+00	5.844160e-05	2.710505e-19	2.710505e-19
5.854150000000047e-05	1.807189e+00	5.000000e+00	5.854150e-05	1.261004e-18	1.261004e-18
5.864140000000047e-05	1.804757e+00	5.000000e+00	5.864140e-05	-9.215718e-19	-9.215718e-19
5.874130000000047e-05	1.802326e+00	5.000000e+00	5.874130e-05	-8.272744e-19	-8.272744e-19
5.884120000000048e-05	1.799896e+00	5.000000e+00	5.884120e-05	-7.047314e-19	-7.047314e-19
5.894110000000048e-05	1.797468e+00	5.000000e+00	5.894110e-05	1.232758e-18	1.232758e-18
5.904100000000048e-05	1.795041e+00	5.000000e+00	5.904100e-05	4.016007e-20	4.016007e-20
5.914090000000048e-05	1.792616e+00	5.000000e+00	5.914090e-05	-9.757820e-19	-9.757820e-19
