iin	V(iin)	I(Iin)	I(Iout)	I(Vdd)	I(Vout)
2.197809999999995e-05	2.850626e+00	2.197810e-05	2.296597e-05	-4.494407e-05	2.296597e-05
2.207799999999995e-05	2.847082e+00	2.207800e-05	2.306879e-05	-4.514679e-05	2.306879e-05
2.217789999999995e-05	2.843544e+00	2.217790e-05	2.317160e-05	-4.534950e-05	2.317160e-05
2.227779999999995e-05	2.840013e+00	2.227780e-05	2.327440e-05	-4.555220e-05	2.327440e-05
2.237769999999995e-05	2.836488e+00	2.237770e-05	2.337720e-05	-4.575490e-05	2.337720e-05
2.247759999999995e-05	2.832970e+00	2.247760e-05	2.347998e-05	-4.595758e-05	2.347998e-05
2.257749999999994e-05	2.829458e+00	2.257750e-05	2.358276e-05	-4.616026e-05	2.358276e-05
2.267739999999994e-05	2.825953e+00	2.267740e-05	2.368553e-05	-4.636293e-05	2.368553e-05
2.277729999999994e-05	2.822454e+00	2.277730e-05	2.378829e-05	-4.656559e-05	2.378829e-05
2.287719999999994e-05	2.818961e+00	2.287720e-05	2.389105e-05	-4.676825e-05	2.389105e-05
2.297709999999994e-05	2.815475e+00	2.297710e-05	2.399379e-05	-4.697089e-05	2.399379e-05
2.307699999999994e-05	2.811995e+00	2.307700e-05	2.409653e-05	-4.717353e-05	2.409653e-05
2.317689999999994e-05	2.808522e+00	2.317690e-05	2.419926e-05	-4.737616e-05	2.419926e-05
2.327679999999994e-05	2.805054e+00	2.327680e-05	2.430198e-05	-4.757877e-05	2.430198e-05
2.337669999999993e-05	2.801593e+00	2.337670e-05	2.440469e-05	-4.778139e-05	2.440469e-05
2.347659999999993e-05	2.798137e+00	2.347660e-05	2.450739e-05	-4.798399e-05	2.450739e-05
2.357649999999993e-05	2.794688e+00	2.357650e-05	2.461009e-05	-4.818659e-05	2.461009e-05
2.367639999999993e-05	2.791245e+00	2.367640e-05	2.471277e-05	-4.838917e-05	2.471277e-05
2.377629999999993e-05	2.787808e+00	2.377630e-05	2.481545e-05	-4.859175e-05	2.481545e-05
2.387619999999993e-05	2.784377e+00	2.387620e-05	2.491812e-05	-4.879433e-05	2.491812e-05
2.397609999999993e-05	2.780951e+00	2.397610e-05	2.502079e-05	-4.899689e-05	2.502079e-05
2.407599999999993e-05	2.777532e+00	2.407600e-05	2.512344e-05	-4.919944e-05	2.512344e-05
2.417589999999993e-05	2.774118e+00	2.417590e-05	2.522609e-05	-4.940199e-05	2.522609e-05
2.427579999999992e-05	2.770710e+00	2.427580e-05	2.532873e-05	-4.960453e-05	2.532873e-05
2.437569999999992e-05	2.767308e+00	2.437570e-05	2.543136e-05	-4.980706e-05	2.543136e-05
2.447559999999992e-05	2.763912e+00	2.447560e-05	2.553398e-05	-5.000958e-05	2.553398e-05
2.457549999999992e-05	2.760522e+00	2.457550e-05	2.563659e-05	-5.021209e-05	2.563659e-05
2.467539999999992e-05	2.757137e+00	2.467540e-05	2.573920e-05	-5.041460e-05	2.573920e-05
2.477529999999992e-05	2.753757e+00	2.477530e-05	2.584180e-05	-5.061710e-05	2.584180e-05
2.487519999999992e-05	2.750383e+00	2.487520e-05	2.594439e-05	-5.081959e-05	2.594439e-05
2.497509999999992e-05	2.747015e+00	2.497510e-05	2.604697e-05	-5.102207e-05	2.604697e-05
2.507499999999991e-05	2.743653e+00	2.507500e-05	2.614955e-05	-5.122455e-05	2.614955e-05
2.517489999999991e-05	2.740295e+00	2.517490e-05	2.625211e-05	-5.142701e-05	2.625211e-05
2.527479999999991e-05	2.736943e+00	2.527480e-05	2.635467e-05	-5.162947e-05	2.635467e-05
2.537469999999991e-05	2.733597e+00	2.537470e-05	2.645722e-05	-5.183192e-05	2.645722e-05
2.547459999999991e-05	2.730256e+00	2.547460e-05	2.655977e-05	-5.203437e-05	2.655977e-05
2.557449999999991e-05	2.726921e+00	2.557450e-05	2.666230e-05	-5.223680e-05	2.666230e-05
2.567439999999991e-05	2.723590e+00	2.567440e-05	2.676483e-05	-5.243923e-05	2.676483e-05
2.577429999999991e-05	2.720265e+00	2.577430e-05	2.686735e-05	-5.264165e-05	2.686735e-05
2.587419999999991e-05	2.716945e+00	2.587420e-05	2.696986e-05	-5.284406e-05	2.696986e-05
2.597409999999990e-05	2.713631e+00	2.597410e-05	2.707236e-05	-5.304646e-05	2.707236e-05
2.607399999999990e-05	2.710321e+00	2.607400e-05	2.717486e-05	-5.324886e-05	2.717486e-05
